orf_id,symbol,ensembl_gene_id,chr
2,GBA,ENSG00000177628,1
25,SLC9A3R1,ENSG00000109062,17
138,MYD88,ENSG00000172936,3
167,ACTA2,ENSG00000107796,10
187,FOXA3,ENSG00000170608,19
212,RFX5,ENSG00000143390,1
222,HYLS1,ENSG00000198331,11
253,ALDOA,ENSG00000149925,16
268,CTH,ENSG00000116761,1
269,PEPD,ENSG00000124299,19
281,MVK,ENSG00000110921,12
286,ABHD5,ENSG00000011198,3
300,GALT,ENSG00000213930,9
330,TYROBP,ENSG00000011600,19
344,OXCT1,ENSG00000083720,5
359,CBS,ENSG00000160200,21
369,SERPING1,ENSG00000149131,11
386,STAR,ENSG00000147465,8
420,CLU,ENSG00000120885,8
476,BPGM,ENSG00000172331,7
490,SEMA4A,ENSG00000196189,1
535,ETFA,ENSG00000140374,15
538,CD40,ENSG00000101017,20
550,SPINT2,ENSG00000167642,19
575,AGA,ENSG00000038002,4
611,PRNP,ENSG00000171867,20
669,PTGS2,ENSG00000073756,1
740,MSX2,ENSG00000120149,5
741,TFPI,ENSG00000003436,2
747,RPIA,ENSG00000153574,2
763,CYB5A,ENSG00000166347,18
777,A4GALT,ENSG00000128274,22
786,SCO1,ENSG00000133028,17
817,BCHE,ENSG00000114200,3
825,PLOD1,ENSG00000083444,1
832,SLC25A38,ENSG00000144659,3
835,PCCB,ENSG00000114054,3
837,ASAH1,ENSG00000104763,8
861,LBR,ENSG00000143815,1
877,ARL11,ENSG00000152213,13
879,MAT1A,ENSG00000151224,10
888,PCCA,ENSG00000175198,13
906,MMADHC,ENSG00000168288,2
927,SULT1A1,ENSG00000196502,16
968,PSAT1,ENSG00000135069,9
992,TPP1,ENSG00000166340,11
996,YARS1,ENSG00000134684,1
1008,CDK5R1,ENSG00000176749,17
1026,BMP4,ENSG00000125378,14
1038,PRKAG2,ENSG00000106617,7
1092,LFNG,ENSG00000106003,7
1118,ETNPPL,ENSG00000164089,4
1142,GJA1,ENSG00000152661,6
1155,GAD1,ENSG00000128683,2
1231,AQP1,ENSG00000240583,7
1246,BBS10,ENSG00000179941,12
1258,CRYM,ENSG00000103316,16
1261,PIP4K2A,ENSG00000150867,10
1268,LGI1,ENSG00000108231,10
1274,OMG,ENSG00000126861,17
1284,PTS,ENSG00000150787,11
1317,PAK5,ENSG00000101349,20
1324,SGCE,ENSG00000127990,7
1331,GPAM,ENSG00000119927,10
1350,CALR3,ENSG00000269058,19
1353,HLA-G,ENSG00000204632,6
1355,LARS2,ENSG00000011376,3
1383,TMEM67,ENSG00000164953,8
1392,PRKN,ENSG00000185345,6
1447,MTM1,ENSG00000171100,X
1458,ERAP1,ENSG00000164307,5
1483,CRISP2,ENSG00000124490,6
1485,ESR2,ENSG00000140009,14
1567,GLE1,ENSG00000119392,9
1601,RASA1,ENSG00000145715,5
