,orf_id,mut_id,node_type,source_pla,source_well,dest_pla_id,dest_well_id,dest_pla,source_well_id,dest_well
78,56360.0,0.0,wt,DisWTGDEh01,A02,23,89,VUSDUALXP_23,9,A12
79,56360.0,0.0,wt,DisWTGDEh01,A02,23,90,VUSDUALXP_23,9,B12
80,56360.0,0.0,wt,DisWTGDEh01,A02,23,91,VUSDUALXP_23,9,C12
81,56360.0,0.0,wt,DisWTGDEh01,A02,23,92,VUSDUALXP_23,9,D12
10,9905.0,0.0,wt,DisWTGDEh01,D06,23,14,VUSDUALXP_23,44,F02
11,9905.0,0.0,wt,DisWTGDEh01,D06,23,15,VUSDUALXP_23,44,G02
12,9905.0,0.0,wt,DisWTGDEh01,D06,23,16,VUSDUALXP_23,44,H02
13,9905.0,0.0,wt,DisWTGDEh01,D06,23,18,VUSDUALXP_23,44,B03
217,5431.0,0.0,wt,DisWTGDEh01,G08,25,62,VUSDUALXP_25,63,F08
218,5431.0,0.0,wt,DisWTGDEh01,G08,25,63,VUSDUALXP_25,63,G08
219,5431.0,0.0,wt,DisWTGDEh01,G08,25,64,VUSDUALXP_25,63,H08
220,5431.0,0.0,wt,DisWTGDEh01,G08,25,65,VUSDUALXP_25,63,A09
154,11305.0,0.0,wt,DisWTGDEh02,A03,24,81,VUSDUALXP_24,17,A11
155,11305.0,0.0,wt,DisWTGDEh02,A03,24,82,VUSDUALXP_24,17,B11
156,11305.0,0.0,wt,DisWTGDEh02,A03,24,83,VUSDUALXP_24,17,C11
157,11305.0,0.0,wt,DisWTGDEh02,A03,24,84,VUSDUALXP_24,17,D11
165,12043.0,0.0,wt,DisWTGDEh02,G03,25,2,VUSDUALXP_25,23,B01
166,12043.0,0.0,wt,DisWTGDEh02,G03,25,3,VUSDUALXP_25,23,C01
167,12043.0,0.0,wt,DisWTGDEh02,G03,25,4,VUSDUALXP_25,23,D01
168,12043.0,0.0,wt,DisWTGDEh02,G03,25,5,VUSDUALXP_25,23,E01
249,3180.0,0.0,wt,DisWTGDEh02,B04,26,2,VUSDUALXP_26,26,B01
250,3180.0,0.0,wt,DisWTGDEh02,B04,26,3,VUSDUALXP_26,26,C01
251,3180.0,0.0,wt,DisWTGDEh02,B04,26,4,VUSDUALXP_26,26,D01
252,3180.0,0.0,wt,DisWTGDEh02,B04,26,5,VUSDUALXP_26,26,E01
170,13571.0,0.0,wt,DisWTGDEh02,C04,25,7,VUSDUALXP_25,27,G01
171,13571.0,0.0,wt,DisWTGDEh02,C04,25,8,VUSDUALXP_25,27,H01
172,13571.0,0.0,wt,DisWTGDEh02,C04,25,10,VUSDUALXP_25,27,B02
173,13571.0,0.0,wt,DisWTGDEh02,C04,25,11,VUSDUALXP_25,27,C02
95,2468.0,0.0,wt,DisWTGDEh02,F04,24,14,VUSDUALXP_24,30,F02
96,2468.0,0.0,wt,DisWTGDEh02,F04,24,15,VUSDUALXP_24,30,G02
97,2468.0,0.0,wt,DisWTGDEh02,F04,24,16,VUSDUALXP_24,30,H02
98,2468.0,0.0,wt,DisWTGDEh02,F04,24,18,VUSDUALXP_24,30,B03
159,510.0,0.0,wt,DisWTGDEh02,B05,24,86,VUSDUALXP_24,34,F11
160,510.0,0.0,wt,DisWTGDEh02,B05,24,87,VUSDUALXP_24,34,G11
161,510.0,0.0,wt,DisWTGDEh02,B05,24,88,VUSDUALXP_24,34,H11
162,510.0,0.0,wt,DisWTGDEh02,B05,24,89,VUSDUALXP_24,34,A12
212,9818.0,0.0,wt,DisWTGDEh02,E07,25,56,VUSDUALXP_25,53,H07
213,9818.0,0.0,wt,DisWTGDEh02,E07,25,58,VUSDUALXP_25,53,B08
214,9818.0,0.0,wt,DisWTGDEh02,E07,25,59,VUSDUALXP_25,53,C08
215,9818.0,0.0,wt,DisWTGDEh02,E07,25,60,VUSDUALXP_25,53,D08
236,3782.0,0.0,wt,DisWTGDEh02,H07,25,82,VUSDUALXP_25,56,B11
237,3782.0,0.0,wt,DisWTGDEh02,H07,25,83,VUSDUALXP_25,56,C11
238,3782.0,0.0,wt,DisWTGDEh02,H07,25,84,VUSDUALXP_25,56,D11
239,3782.0,0.0,wt,DisWTGDEh02,H07,25,85,VUSDUALXP_25,56,E11
84,14966.0,0.0,wt,DisWTGDEh02,A09,24,2,VUSDUALXP_24,65,B01
85,14966.0,0.0,wt,DisWTGDEh02,A09,24,3,VUSDUALXP_24,65,C01
86,14966.0,0.0,wt,DisWTGDEh02,A09,24,4,VUSDUALXP_24,65,D01
87,14966.0,0.0,wt,DisWTGDEh02,A09,24,5,VUSDUALXP_24,65,E01
223,7323.0,0.0,wt,DisWTGDEh02,D09,25,68,VUSDUALXP_25,68,D09
224,7323.0,0.0,wt,DisWTGDEh02,D09,25,69,VUSDUALXP_25,68,E09
225,7323.0,0.0,wt,DisWTGDEh02,D09,25,70,VUSDUALXP_25,68,F09
226,7323.0,0.0,wt,DisWTGDEh02,D09,25,71,VUSDUALXP_25,68,G09
255,3438.0,0.0,wt,DisWTGDEh02,C10,26,10,VUSDUALXP_26,75,B02
256,3438.0,0.0,wt,DisWTGDEh02,C10,26,11,VUSDUALXP_26,75,C02
257,3438.0,0.0,wt,DisWTGDEh02,C10,26,12,VUSDUALXP_26,75,D02
258,3438.0,0.0,wt,DisWTGDEh02,C10,26,13,VUSDUALXP_26,75,E02
0,8143.0,0.0,wt,DisWTGDEh03,C01,23,2,VUSDUALXP_23,3,B01
1,8143.0,0.0,wt,DisWTGDEh03,C01,23,4,VUSDUALXP_23,3,D01
2,8143.0,0.0,wt,DisWTGDEh03,C01,23,5,VUSDUALXP_23,3,E01
3,8143.0,0.0,wt,DisWTGDEh03,C01,23,6,VUSDUALXP_23,3,F01
183,14221.0,0.0,wt,DisWTGDEh03,F01,25,22,VUSDUALXP_25,6,F03
184,14221.0,0.0,wt,DisWTGDEh03,F01,25,23,VUSDUALXP_25,6,G03
185,14221.0,0.0,wt,DisWTGDEh03,F01,25,24,VUSDUALXP_25,6,H03
186,14221.0,0.0,wt,DisWTGDEh03,F01,25,26,VUSDUALXP_25,6,B04
289,2920.0,0.0,wt,DisWTGDEh03,A03,26,50,VUSDUALXP_26,17,B07
290,2920.0,0.0,wt,DisWTGDEh03,A03,26,51,VUSDUALXP_26,17,C07
291,2920.0,0.0,wt,DisWTGDEh03,A03,26,52,VUSDUALXP_26,17,D07
292,2920.0,0.0,wt,DisWTGDEh03,A03,26,53,VUSDUALXP_26,17,E07
342,8416.0,0.0,wt,DisWTGDEh03,C03,27,23,VUSDUALXP_27,19,G03
343,8416.0,0.0,wt,DisWTGDEh03,C03,27,24,VUSDUALXP_27,19,H03
344,8416.0,0.0,wt,DisWTGDEh03,C03,27,26,VUSDUALXP_27,19,B04
345,8416.0,0.0,wt,DisWTGDEh03,C03,27,27,VUSDUALXP_27,19,C04
16,2713.0,0.0,wt,DisWTGDEh03,A04,23,21,VUSDUALXP_23,25,E03
17,2713.0,0.0,wt,DisWTGDEh03,A04,23,22,VUSDUALXP_23,25,F03
18,2713.0,0.0,wt,DisWTGDEh03,A04,23,23,VUSDUALXP_23,25,G03
19,2713.0,0.0,wt,DisWTGDEh03,A04,23,24,VUSDUALXP_23,25,H03
115,52920.0,0.0,wt,DisWTGDEh03,A05,24,38,VUSDUALXP_24,33,F05
116,52920.0,0.0,wt,DisWTGDEh03,A05,24,39,VUSDUALXP_24,33,G05
117,52920.0,0.0,wt,DisWTGDEh03,A05,24,40,VUSDUALXP_24,33,H05
118,52920.0,0.0,wt,DisWTGDEh03,A05,24,42,VUSDUALXP_24,33,B06
194,5723.0,0.0,wt,DisWTGDEh03,D05,25,35,VUSDUALXP_25,36,C05
195,5723.0,0.0,wt,DisWTGDEh03,D05,25,36,VUSDUALXP_25,36,D05
196,5723.0,0.0,wt,DisWTGDEh03,D05,25,37,VUSDUALXP_25,36,E05
197,5723.0,0.0,wt,DisWTGDEh03,D05,25,38,VUSDUALXP_25,36,F05
100,2767.0,0.0,wt,DisWTGDEh03,E05,24,20,VUSDUALXP_24,37,D03
101,2767.0,0.0,wt,DisWTGDEh03,E05,24,21,VUSDUALXP_24,37,E03
102,2767.0,0.0,wt,DisWTGDEh03,E05,24,22,VUSDUALXP_24,37,F03
103,2767.0,0.0,wt,DisWTGDEh03,E05,24,23,VUSDUALXP_24,37,G03
323,3689.0,0.0,wt,DisWTGDEh03,A06,27,2,VUSDUALXP_27,41,B01
324,3689.0,0.0,wt,DisWTGDEh03,A06,27,3,VUSDUALXP_27,41,C01
325,3689.0,0.0,wt,DisWTGDEh03,A06,27,4,VUSDUALXP_27,41,D01
326,3689.0,0.0,wt,DisWTGDEh03,A06,27,5,VUSDUALXP_27,41,E01
270,13796.0,0.0,wt,DisWTGDEh03,C06,26,28,VUSDUALXP_26,43,D04
271,13796.0,0.0,wt,DisWTGDEh03,C06,26,29,VUSDUALXP_26,43,E04
272,13796.0,0.0,wt,DisWTGDEh03,C06,26,30,VUSDUALXP_26,43,F04
273,13796.0,0.0,wt,DisWTGDEh03,C06,26,31,VUSDUALXP_26,43,G04
241,54914.0,0.0,wt,DisWTGDEh03,H07,25,87,VUSDUALXP_25,56,G11
242,54914.0,0.0,wt,DisWTGDEh03,H07,25,88,VUSDUALXP_25,56,H11
243,54914.0,0.0,wt,DisWTGDEh03,H07,25,89,VUSDUALXP_25,56,A12
244,54914.0,0.0,wt,DisWTGDEh03,H07,25,90,VUSDUALXP_25,56,B12
175,4515.0,0.0,wt,DisWTGDEh04,D02,25,13,VUSDUALXP_25,12,E02
176,4515.0,0.0,wt,DisWTGDEh04,D02,25,14,VUSDUALXP_25,12,F02
177,4515.0,0.0,wt,DisWTGDEh04,D02,25,15,VUSDUALXP_25,12,G02
178,4515.0,0.0,wt,DisWTGDEh04,D02,25,16,VUSDUALXP_25,12,H02
149,55247.0,0.0,wt,DisWTGDEh04,D08,24,76,VUSDUALXP_24,60,D10
150,55247.0,0.0,wt,DisWTGDEh04,D08,24,77,VUSDUALXP_24,60,E10
151,55247.0,0.0,wt,DisWTGDEh04,D08,24,78,VUSDUALXP_24,60,F10
152,55247.0,0.0,wt,DisWTGDEh04,D08,24,79,VUSDUALXP_24,60,G10
163,510.0,1850.0,allele,VUSMutpDEST2_01,G07,24,90,VUSDUALXP_24,55,B12
164,510.0,200304.0,allele,VUSMutpDEST2_01,H07,24,91,VUSDUALXP_24,56,C12
99,2468.0,200623.0,allele,VUSMutpDEST2_01,H11,24,19,VUSDUALXP_24,88,C03
20,2713.0,449.0,allele,VUSMutpDEST2_02,F02,23,26,VUSDUALXP_23,14,B04
21,2713.0,451.0,allele,VUSMutpDEST2_02,G02,23,27,VUSDUALXP_23,15,C04
22,2713.0,455.0,allele,VUSMutpDEST2_02,H02,23,28,VUSDUALXP_23,16,D04
23,2713.0,461.0,allele,VUSMutpDEST2_02,A03,23,29,VUSDUALXP_23,17,E04
24,2713.0,462.0,allele,VUSMutpDEST2_02,B03,23,30,VUSDUALXP_23,18,F04
25,2713.0,467.0,allele,VUSMutpDEST2_02,C03,23,31,VUSDUALXP_23,19,G04
