,orf_id,mut_id,node_type,source_pla,source_well,dest_pla_id,dest_well_id,dest_pla,source_well_id,dest_well
26,2713.0,470.0,allele,VUSMutpDEST2_02,D03,23,32,VUSDUALXP_23,20,H04
27,2713.0,472.0,allele,VUSMutpDEST2_02,E03,23,34,VUSDUALXP_23,21,B05
28,2713.0,473.0,allele,VUSMutpDEST2_02,F03,23,35,VUSDUALXP_23,22,C05
29,2713.0,683.0,allele,VUSMutpDEST2_02,G03,23,36,VUSDUALXP_23,23,D05
30,2713.0,704.0,allele,VUSMutpDEST2_02,H03,23,37,VUSDUALXP_23,24,E05
31,2713.0,838.0,allele,VUSMutpDEST2_02,A04,23,38,VUSDUALXP_23,25,F05
32,2713.0,869.0,allele,VUSMutpDEST2_02,B04,23,39,VUSDUALXP_23,26,G05
33,2713.0,889.0,allele,VUSMutpDEST2_02,C04,23,40,VUSDUALXP_23,27,H05
34,2713.0,894.0,allele,VUSMutpDEST2_02,D04,23,42,VUSDUALXP_23,28,B06
35,2713.0,910.0,allele,VUSMutpDEST2_02,E04,23,43,VUSDUALXP_23,29,C06
36,2713.0,914.0,allele,VUSMutpDEST2_02,F04,23,44,VUSDUALXP_23,30,D06
37,2713.0,919.0,allele,VUSMutpDEST2_02,G04,23,45,VUSDUALXP_23,31,E06
38,2713.0,921.0,allele,VUSMutpDEST2_02,H04,23,46,VUSDUALXP_23,32,F06
39,2713.0,923.0,allele,VUSMutpDEST2_02,A05,23,47,VUSDUALXP_23,33,G06
40,2713.0,934.0,allele,VUSMutpDEST2_02,B05,23,48,VUSDUALXP_23,34,H06
41,2713.0,953.0,allele,VUSMutpDEST2_02,C05,23,50,VUSDUALXP_23,35,B07
42,2713.0,955.0,allele,VUSMutpDEST2_02,D05,23,51,VUSDUALXP_23,36,C07
43,2713.0,966.0,allele,VUSMutpDEST2_02,E05,23,52,VUSDUALXP_23,37,D07
44,2713.0,967.0,allele,VUSMutpDEST2_02,F05,23,53,VUSDUALXP_23,38,E07
45,2713.0,971.0,allele,VUSMutpDEST2_02,G05,23,54,VUSDUALXP_23,39,F07
46,2713.0,981.0,allele,VUSMutpDEST2_02,H05,23,55,VUSDUALXP_23,40,G07
47,2713.0,982.0,allele,VUSMutpDEST2_02,A06,23,56,VUSDUALXP_23,41,H07
48,2713.0,983.0,allele,VUSMutpDEST2_02,B06,23,58,VUSDUALXP_23,42,B08
49,2713.0,985.0,allele,VUSMutpDEST2_02,C06,23,59,VUSDUALXP_23,43,C08
50,2713.0,986.0,allele,VUSMutpDEST2_02,D06,23,60,VUSDUALXP_23,44,D08
51,2713.0,1005.0,allele,VUSMutpDEST2_02,E06,23,61,VUSDUALXP_23,45,E08
52,2713.0,1015.0,allele,VUSMutpDEST2_02,F06,23,62,VUSDUALXP_23,46,F08
53,2713.0,1033.0,allele,VUSMutpDEST2_02,G06,23,63,VUSDUALXP_23,47,G08
54,2713.0,4400.0,allele,VUSMutpDEST2_02,H06,23,64,VUSDUALXP_23,48,H08
55,2713.0,4465.0,allele,VUSMutpDEST2_02,A07,23,65,VUSDUALXP_23,49,A09
56,2713.0,4520.0,allele,VUSMutpDEST2_02,B07,23,66,VUSDUALXP_23,50,B09
57,2713.0,4554.0,allele,VUSMutpDEST2_02,C07,23,67,VUSDUALXP_23,51,C09
58,2713.0,200798.0,allele,VUSMutpDEST2_02,D07,23,68,VUSDUALXP_23,52,D09
59,2713.0,200800.0,allele,VUSMutpDEST2_02,E07,23,69,VUSDUALXP_23,53,E09
60,2713.0,200808.0,allele,VUSMutpDEST2_02,F07,23,70,VUSDUALXP_23,54,F09
61,2713.0,200816.0,allele,VUSMutpDEST2_02,G07,23,71,VUSDUALXP_23,55,G09
62,2713.0,200818.0,allele,VUSMutpDEST2_02,H07,23,72,VUSDUALXP_23,56,H09
63,2713.0,200821.0,allele,VUSMutpDEST2_02,A08,23,73,VUSDUALXP_23,57,A10
64,2713.0,200824.0,allele,VUSMutpDEST2_02,B08,23,74,VUSDUALXP_23,58,B10
65,2713.0,200828.0,allele,VUSMutpDEST2_02,C08,23,75,VUSDUALXP_23,59,C10
66,2713.0,200832.0,allele,VUSMutpDEST2_02,D08,23,76,VUSDUALXP_23,60,D10
67,2713.0,200834.0,allele,VUSMutpDEST2_02,E08,23,77,VUSDUALXP_23,61,E10
68,2713.0,200837.0,allele,VUSMutpDEST2_02,F08,23,78,VUSDUALXP_23,62,F10
69,2713.0,200842.0,allele,VUSMutpDEST2_02,G08,23,79,VUSDUALXP_23,63,G10
70,2713.0,200850.0,allele,VUSMutpDEST2_02,H08,23,80,VUSDUALXP_23,64,H10
71,2713.0,200856.0,allele,VUSMutpDEST2_02,A09,23,81,VUSDUALXP_23,65,A11
72,2713.0,200865.0,allele,VUSMutpDEST2_02,B09,23,82,VUSDUALXP_23,66,B11
73,2713.0,200866.0,allele,VUSMutpDEST2_02,C09,23,83,VUSDUALXP_23,67,C11
74,2713.0,200868.0,allele,VUSMutpDEST2_02,D09,23,84,VUSDUALXP_23,68,D11
75,2713.0,200873.0,allele,VUSMutpDEST2_02,E09,23,86,VUSDUALXP_23,69,F11
76,2713.0,200887.0,allele,VUSMutpDEST2_02,F09,23,87,VUSDUALXP_23,70,G11
77,2713.0,200902.0,allele,VUSMutpDEST2_02,G09,23,88,VUSDUALXP_23,71,H11
104,2767.0,4651.0,allele,VUSMutpDEST2_02,H09,24,24,VUSDUALXP_24,72,H03
105,2767.0,4654.0,allele,VUSMutpDEST2_02,A10,24,26,VUSDUALXP_24,73,B04
106,2767.0,4661.0,allele,VUSMutpDEST2_02,B10,24,27,VUSDUALXP_24,74,C04
107,2767.0,4667.0,allele,VUSMutpDEST2_02,C10,24,28,VUSDUALXP_24,75,D04
108,2767.0,214356.0,allele,VUSMutpDEST2_02,D10,24,29,VUSDUALXP_24,76,E04
109,2767.0,214357.0,allele,VUSMutpDEST2_02,E10,24,30,VUSDUALXP_24,77,F04
110,2767.0,214358.0,allele,VUSMutpDEST2_02,F10,24,32,VUSDUALXP_24,78,H04
111,2767.0,214360.0,allele,VUSMutpDEST2_02,G10,24,34,VUSDUALXP_24,79,B05
112,2767.0,214361.0,allele,VUSMutpDEST2_02,H10,24,35,VUSDUALXP_24,80,C05
113,2767.0,214362.0,allele,VUSMutpDEST2_02,A11,24,36,VUSDUALXP_24,81,D05
114,2767.0,214363.0,allele,VUSMutpDEST2_02,B11,24,37,VUSDUALXP_24,82,E05
293,2920.0,5153.0,allele,VUSMutpDEST2_02,C11,26,54,VUSDUALXP_26,83,F07
294,2920.0,5180.0,allele,VUSMutpDEST2_02,D11,26,55,VUSDUALXP_26,84,G07
295,2920.0,5192.0,allele,VUSMutpDEST2_02,E11,26,56,VUSDUALXP_26,85,H07
296,2920.0,5209.0,allele,VUSMutpDEST2_02,F11,26,58,VUSDUALXP_26,86,B08
297,2920.0,214382.0,allele,VUSMutpDEST2_02,G11,26,59,VUSDUALXP_26,87,C08
298,2920.0,214386.0,allele,VUSMutpDEST2_02,H11,26,60,VUSDUALXP_26,88,D08
299,2920.0,214388.0,allele,VUSMutpDEST2_02,A12,26,61,VUSDUALXP_26,89,E08
300,2920.0,214394.0,allele,VUSMutpDEST2_02,B12,26,62,VUSDUALXP_26,90,F08
301,2920.0,214397.0,allele,VUSMutpDEST2_02,C12,26,63,VUSDUALXP_26,91,G08
302,2920.0,214399.0,allele,VUSMutpDEST2_02,D12,26,64,VUSDUALXP_26,92,H08
303,2920.0,214406.0,allele,VUSMutpDEST2_02,E12,26,65,VUSDUALXP_26,93,A09
304,2920.0,214409.0,allele,VUSMutpDEST2_02,F12,26,66,VUSDUALXP_26,94,B09
305,2920.0,214415.0,allele,VUSMutpDEST2_03,A01,26,67,VUSDUALXP_26,1,C09
306,2920.0,214418.0,allele,VUSMutpDEST2_03,B01,26,68,VUSDUALXP_26,2,D09
307,2920.0,214419.0,allele,VUSMutpDEST2_03,C01,26,69,VUSDUALXP_26,3,E09
308,2920.0,214420.0,allele,VUSMutpDEST2_03,D01,26,70,VUSDUALXP_26,4,F09
309,2920.0,214422.0,allele,VUSMutpDEST2_03,E01,26,71,VUSDUALXP_26,5,G09
310,2920.0,214423.0,allele,VUSMutpDEST2_03,F01,26,72,VUSDUALXP_26,6,H09
311,2920.0,214424.0,allele,VUSMutpDEST2_03,G01,26,73,VUSDUALXP_26,7,A10
312,2920.0,214427.0,allele,VUSMutpDEST2_03,H01,26,74,VUSDUALXP_26,8,B10
313,2920.0,214430.0,allele,VUSMutpDEST2_03,A02,26,75,VUSDUALXP_26,9,C10
314,2920.0,214433.0,allele,VUSMutpDEST2_03,B02,26,76,VUSDUALXP_26,10,D10
315,2920.0,214437.0,allele,VUSMutpDEST2_03,C02,26,77,VUSDUALXP_26,11,E10
316,2920.0,214440.0,allele,VUSMutpDEST2_03,D02,26,78,VUSDUALXP_26,12,F10
317,2920.0,214444.0,allele,VUSMutpDEST2_03,F02,26,79,VUSDUALXP_26,14,G10
318,2920.0,214445.0,allele,VUSMutpDEST2_03,G02,26,80,VUSDUALXP_26,15,H10
319,2920.0,214447.0,allele,VUSMutpDEST2_03,H02,26,81,VUSDUALXP_26,16,A11
320,2920.0,214450.0,allele,VUSMutpDEST2_03,A03,26,82,VUSDUALXP_26,17,B11
321,2920.0,214452.0,allele,VUSMutpDEST2_03,B03,26,83,VUSDUALXP_26,18,C11
322,2920.0,900221.0,allele,VUSMutpDEST2_03,C03,26,84,VUSDUALXP_26,19,D11
253,3180.0,243.0,allele,VUSMutpDEST2_03,G04,26,7,VUSDUALXP_26,31,G01
254,3180.0,214556.0,allele,VUSMutpDEST2_03,H04,26,8,VUSDUALXP_26,32,H01
259,3438.0,287.0,allele,VUSMutpDEST2_03,E05,26,14,VUSDUALXP_26,37,F02
260,3438.0,288.0,allele,VUSMutpDEST2_03,F05,26,15,VUSDUALXP_26,38,G02
261,3438.0,289.0,allele,VUSMutpDEST2_03,G05,26,16,VUSDUALXP_26,39,H02
262,3438.0,6046.0,allele,VUSMutpDEST2_03,H05,26,18,VUSDUALXP_26,40,B03
263,3438.0,201175.0,allele,VUSMutpDEST2_03,A06,26,19,VUSDUALXP_26,41,C03
264,3438.0,201176.0,allele,VUSMutpDEST2_03,B06,26,20,VUSDUALXP_26,42,D03
265,3438.0,201177.0,allele,VUSMutpDEST2_03,C06,26,21,VUSDUALXP_26,43,E03
266,3438.0,201179.0,allele,VUSMutpDEST2_03,D06,26,22,VUSDUALXP_26,44,F03
267,3438.0,201180.0,allele,VUSMutpDEST2_03,E06,26,23,VUSDUALXP_26,45,G03
268,3438.0,201181.0,allele,VUSMutpDEST2_03,F06,26,26,VUSDUALXP_26,46,B04
269,3438.0,201183.0,allele,VUSMutpDEST2_03,G06,26,27,VUSDUALXP_26,47,C04
327,3689.0,214816.0,allele,VUSMutpDEST2_03,E08,27,6,VUSDUALXP_27,61,F01
328,3689.0,214822.0,allele,VUSMutpDEST2_03,F08,27,7,VUSDUALXP_27,62,G01
329,3689.0,214825.0,allele,VUSMutpDEST2_03,G08,27,8,VUSDUALXP_27,63,H01
330,3689.0,214835.0,allele,VUSMutpDEST2_03,H08,27,10,VUSDUALXP_27,64,B02
331,3689.0,214841.0,allele,VUSMutpDEST2_03,A09,27,11,VUSDUALXP_27,65,C02
332,3689.0,214842.0,allele,VUSMutpDEST2_03,B09,27,12,VUSDUALXP_27,66,D02
333,3689.0,214843.0,allele,VUSMutpDEST2_03,C09,27,13,VUSDUALXP_27,67,E02
334,3689.0,214847.0,allele,VUSMutpDEST2_03,D09,27,14,VUSDUALXP_27,68,F02
335,3689.0,214851.0,allele,VUSMutpDEST2_03,E09,27,15,VUSDUALXP_27,69,G02
336,3689.0,214853.0,allele,VUSMutpDEST2_03,F09,27,16,VUSDUALXP_27,70,H02
337,3689.0,214856.0,allele,VUSMutpDEST2_03,G09,27,18,VUSDUALXP_27,71,B03
338,3689.0,214859.0,allele,VUSMutpDEST2_03,H09,27,19,VUSDUALXP_27,72,C03
339,3689.0,214860.0,allele,VUSMutpDEST2_03,A10,27,20,VUSDUALXP_27,73,D03
340,3689.0,214861.0,allele,VUSMutpDEST2_03,B10,27,21,VUSDUALXP_27,74,E03
341,3689.0,214863.0,allele,VUSMutpDEST2_03,C10,27,22,VUSDUALXP_27,75,F03
240,3782.0,201266.0,allele,VUSMutpDEST2_03,B12,25,86,VUSDUALXP_25,90,F11
179,4515.0,8609.0,allele,VUSMutpDEST2_04,B04,25,18,VUSDUALXP_25,26,B03
180,4515.0,8610.0,allele,VUSMutpDEST2_04,C04,25,19,VUSDUALXP_25,27,C03
181,4515.0,8612.0,allele,VUSMutpDEST2_04,D04,25,20,VUSDUALXP_25,28,D03
182,4515.0,900160.0,allele,VUSMutpDEST2_04,E04,25,21,VUSDUALXP_25,29,E03
221,5431.0,201910.0,allele,VUSMutpDEST2_05,F01,25,66,VUSDUALXP_25,6,B09
222,5431.0,201911.0,allele,VUSMutpDEST2_05,G01,25,67,VUSDUALXP_25,7,C09
198,5723.0,667.0,allele,VUSMutpDEST2_05,F05,25,39,VUSDUALXP_25,38,G05
199,5723.0,668.0,allele,VUSMutpDEST2_05,G05,25,40,VUSDUALXP_25,39,H05
200,5723.0,669.0,allele,VUSMutpDEST2_05,H05,25,43,VUSDUALXP_25,40,C06
201,5723.0,671.0,allele,VUSMutpDEST2_05,A06,25,44,VUSDUALXP_25,41,D06
202,5723.0,10350.0,allele,VUSMutpDEST2_05,B06,25,45,VUSDUALXP_25,42,E06
203,5723.0,10351.0,allele,VUSMutpDEST2_05,C06,25,46,VUSDUALXP_25,43,F06
204,5723.0,10355.0,allele,VUSMutpDEST2_05,D06,25,47,VUSDUALXP_25,44,G06
205,5723.0,10367.0,allele,VUSMutpDEST2_05,E06,25,48,VUSDUALXP_25,45,H06
206,5723.0,201962.0,allele,VUSMutpDEST2_05,F06,25,50,VUSDUALXP_25,46,B07
207,5723.0,201963.0,allele,VUSMutpDEST2_05,G06,25,51,VUSDUALXP_25,47,C07
208,5723.0,201964.0,allele,VUSMutpDEST2_05,H06,25,52,VUSDUALXP_25,48,D07
209,5723.0,201965.0,allele,VUSMutpDEST2_05,A07,25,53,VUSDUALXP_25,49,E07
210,5723.0,201966.0,allele,VUSMutpDEST2_05,B07,25,54,VUSDUALXP_25,50,F07
211,5723.0,201967.0,allele,VUSMutpDEST2_05,C07,25,55,VUSDUALXP_25,51,G07
227,7323.0,394.0,allele,VUSMutpDEST2_06,G02,25,73,VUSDUALXP_25,15,A10
228,7323.0,1840.0,allele,VUSMutpDEST2_06,H02,25,74,VUSDUALXP_25,16,B10
229,7323.0,13235.0,allele,VUSMutpDEST2_06,A03,25,75,VUSDUALXP_25,17,C10
230,7323.0,13254.0,allele,VUSMutpDEST2_06,B03,25,76,VUSDUALXP_25,18,D10
231,7323.0,13263.0,allele,VUSMutpDEST2_06,C03,25,77,VUSDUALXP_25,19,E10
232,7323.0,13272.0,allele,VUSMutpDEST2_06,D03,25,78,VUSDUALXP_25,20,F10
233,7323.0,216369.0,allele,VUSMutpDEST2_06,E03,25,79,VUSDUALXP_25,21,G10
234,7323.0,216370.0,allele,VUSMutpDEST2_06,F03,25,80,VUSDUALXP_25,22,H10
235,7323.0,216371.0,allele,VUSMutpDEST2_06,G03,25,81,VUSDUALXP_25,23,A11
4,8143.0,202836.0,allele,VUSMutpDEST2_07,E08,23,7,VUSDUALXP_23,61,G01
5,8143.0,202838.0,allele,VUSMutpDEST2_07,F08,23,8,VUSDUALXP_23,62,H01
6,8143.0,202839.0,allele,VUSMutpDEST2_07,G08,23,10,VUSDUALXP_23,63,B02
7,8143.0,202840.0,allele,VUSMutpDEST2_07,H08,23,11,VUSDUALXP_23,64,C02
8,8143.0,202841.0,allele,VUSMutpDEST2_07,A09,23,12,VUSDUALXP_23,65,D02
9,8143.0,202842.0,allele,VUSMutpDEST2_07,B09,23,13,VUSDUALXP_23,66,E02
346,8416.0,15594.0,allele,VUSMutpDEST2_07,E10,27,28,VUSDUALXP_27,77,D04
347,8416.0,15595.0,allele,VUSMutpDEST2_07,F10,27,29,VUSDUALXP_27,78,E04
348,8416.0,15613.0,allele,VUSMutpDEST2_07,G10,27,30,VUSDUALXP_27,79,F04
349,8416.0,15636.0,allele,VUSMutpDEST2_07,H10,27,31,VUSDUALXP_27,80,G04
350,8416.0,216621.0,allele,VUSMutpDEST2_07,A11,27,32,VUSDUALXP_27,81,H04
351,8416.0,216622.0,allele,VUSMutpDEST2_07,B11,27,34,VUSDUALXP_27,82,B05
352,8416.0,216623.0,allele,VUSMutpDEST2_07,C11,27,35,VUSDUALXP_27,83,C05
